Migrate Guest ::node1 :: VM_Task_1 :: Cannot migrate the guest
Migrate Guest ::node1 :: VM_Task_1 :: Cannot migrate the guest
Migrate Guest ::node1 :: VM_Task_1 :: Cannot migrate the guest
Migrate Guest ::node1 :: VM_Task_10 :: Cannot migrate the guest
Migrate Guest ::node1 :: VM_Task_12 :: Cannot migrate the guest
Migrate Guest ::node1 :: VM_Task_14 :: Cannot migrate the guest
Migrate Guest ::node1 :: VM_Task_11 :: Cannot migrate the guest
Terminate Guest ::node1 :: VM_Task_11 :: Successfully migrated the guest
Terminate Guest ::node1 :: VM_Task_1 :: Successfully migrated the guest
Migrate Guest ::node1 :: VM_Task_1 :: Cannot migrate the guest


Terminate Guest ::node1 :: VM_Task_15 :: Successfully migrated the guest
Terminate Guest ::node2 :: VM_Task_15 :: Successfully migrated the guest
Terminate Guest ::node1 :: VM_Task_15 :: Successfully migrated the guest
Terminate Guest ::node2 :: VM_Task_15 :: Successfully migrated the guest
Terminate Guest ::node1 :: VM_Task_15 :: Successfully migrated the guest
Terminate Guest ::node2 :: VM_Task_15 :: Successfully migrated the guest
Terminate Guest ::node1 :: VM_Task_15 :: Successfully migrated the guest
Terminate Guest ::node2 :: VM_Task_15 :: Successfully migrated the guest
Terminate Guest ::node1 :: VM_Task_15 :: Successfully migrated the guest
2014-12-01 04:24:16.631002::Migrate Guest ::node1 :: VM_Task_12 :: Cannot migrate the guest


2014-12-01 04:24:18.556920::Migrate Guest ::node1 :: VM_Task_13 :: Cannot migrate the guest


2014-12-01 04:24:26.581507::Migrate Guest ::node1 :: VM_Task_100 :: Cannot migrate the guest


2014-12-01 04:24:28.372200::Migrate Guest ::node1 :: VM_Task_12 :: Cannot migrate the guest


2014-12-01 04:24:30.148115::Migrate Guest ::node1 :: VM_Task_13 :: Cannot migrate the guest


2014-12-01 04:24:36.102540::Migrate Guest ::node1 :: VM_Task_11 :: Cannot migrate the guest


2014-12-01 04:24:42.290432::Migrate Guest ::node1 :: VM_Task_13 :: Cannot migrate the guest


2014-12-01 04:25:02.361593::Migrate Guest ::node1 :: VM_Task_14 :: Cannot migrate the guest


2014-12-01 04:25:07.834761::Migrate Guest ::node1 :: VM_Task_11 :: Cannot migrate the guest


2014-12-01 04:25:14.938549::Migrate Guest ::node1 :: VM_Task_100 :: Cannot migrate the guest


2014-12-01 04:25:19.552848::Migrate Guest ::node1 :: VM_Task_12 :: Cannot migrate the guest


2014-12-01 04:25:20.470388::Migrate Guest ::node1 :: VM_Task_13 :: Cannot migrate the guest


2014-12-01 04:25:26.508296::Migrate Guest ::node1 :: VM_Task_100 :: Cannot migrate the guest


2014-12-01 04:25:32.283675::Migrate Guest ::node1 :: VM_Task_12 :: Cannot migrate the guest


2014-12-01 04:25:32.284510::Migrate Guest ::node1 :: VM_Task_13 :: Cannot migrate the guest


2014-12-01 04:25:36.458580::Migrate Guest ::node1 :: VM_Task_14 :: Cannot migrate the guest


2014-12-01 04:25:38.227556::Migrate Guest ::node1 :: VM_Task_100 :: Cannot migrate the guest


2014-12-01 04:25:43.877219::Migrate Guest ::node1 :: VM_Task_13 :: Cannot migrate the guest


2014-12-01 04:25:48.201442::Migrate Guest ::node1 :: VM_Task_14 :: Cannot migrate the guest


2014-12-01 04:25:55.326671::Migrate Guest ::node1 :: VM_Task_12 :: Cannot migrate the guest


2014-12-01 04:25:55.635541::Migrate Guest ::node1 :: VM_Task_13 :: Cannot migrate the guest


2014-12-01 04:25:59.819806::Migrate Guest ::node1 :: VM_Task_14 :: Cannot migrate the guest


2014-12-01 04:26:01.763390::Migrate Guest ::node1 :: VM_Task_100 :: Cannot migrate the guest


2014-12-01 04:26:07.606890::Migrate Guest ::node1 :: VM_Task_12 :: Cannot migrate the guest


